city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,36,1.0
city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,0.0
city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,5,,,never,83,0.0
city_115,0.789,,No relevent experience,,Graduate,Business Degree,<1,,Pvt Ltd,never,52,1.0
city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8,0.0
city_176,0.764,,Has relevent experience,Part time course,Graduate,STEM,11,,,1,24,1.0
city_160,0.92,Male,Has relevent experience,no_enrollment,High School,,5,50-99,Funded Startup,1,24,0.0
city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,1.0
city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,0.0
city_21,0.624,,No relevent experience,Full time course,High School,,2,,,never,32,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0.0
city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0.0
city_21,0.624,Male,No relevent experience,,,,2,,,never,24,0.0
city_21,0.624,,No relevent experience,Full time course,High School,,5,,,never,26,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10-49,Pvt Ltd,>4,18,0.0
city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,106,0.0
city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,0.0
city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23,1.0
city_13,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,,,1,132,1.0
city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,68,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50,0.0
city_102,0.804,,Has relevent experience,no_enrollment,Masters,STEM,10,,,1,48,0.0
city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,0.0
city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,0.0
city_67,0.855,,No relevent experience,no_enrollment,High School,,4,,,never,22,0.0
city_21,0.624,,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,,,2,72,0.0
city_100,0.887,Male,Has relevent experience,no_enrollment,High School,,11,<10,Pvt Ltd,1,8,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,40,0.0
city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,0.0
city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,,,1,24,0.0
city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10-49,Early Stage Startup,2,206,0.0
city_114,0.926,Male,No relevent experience,Part time course,High School,,1,10000+,Other,1,152,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42,1.0
city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,12,,,4,50,0.0
city_71,0.884,Male,No relevent experience,no_enrollment,,,3,,,never,106,0.0
city_114,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,0.0
city_104,0.924,Male,Has relevent experience,no_enrollment,High School,,4,10-49,Pvt Ltd,2,36,0.0
city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,1.0
city_64,0.6659999999999999,,No relevent experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108,0.0
city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1.0
city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,,,never,26,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,1.0
city_101,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,,,>4,20,1.0
city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10-49,Pvt Ltd,1,21,0.0
city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4,,,1,92,1.0
city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102,0.0
city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0.0
city_104,0.924,,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7,0.0
city_114,0.926,Male,No relevent experience,Full time course,High School,,4,10000+,Pvt Ltd,1,43,0.0
city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,0.0
city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,19,0.0
city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,2,10-49,Funded Startup,,32,1.0
city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,1.0
city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,,,1,90,0.0
city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25,0.0
city_41,0.8270000000000001,,Has relevent experience,,Masters,STEM,13,<10,,1,15,0.0
city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48,0.0
city_11,0.55,,No relevent experience,Full time course,High School,,3,,,,98,0.0
city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1.0
city_67,0.855,Male,No relevent experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,47,0.0
city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,0.0
city_90,0.698,,No relevent experience,,,,2,,Pvt Ltd,never,228,1.0
